date,city,country,avg_temp_c
05/09/01,Addis Abeba,Ethiopia,17.797
05/10/01,Addis Abeba,Ethiopia,17.419
05/11/01,Addis Abeba,Ethiopia,16.955
05/12/01,Addis Abeba,Ethiopia,16.866
06/01/01,Addis Abeba,Ethiopia,18.526
06/02/01,Addis Abeba,Ethiopia,20.512
06/03/01,Addis Abeba,Ethiopia,20.482
06/04/01,Addis Abeba,Ethiopia,19.595
06/05/01,Addis Abeba,Ethiopia,19.648
06/06/01,Addis Abeba,Ethiopia,18.222
06/07/01,Addis Abeba,Ethiopia,16.926
06/08/01,Addis Abeba,Ethiopia,16.963
06/09/01,Addis Abeba,Ethiopia,17.374
06/10/01,Addis Abeba,Ethiopia,17.799
06/11/01,Addis Abeba,Ethiopia,17.793
06/12/01,Addis Abeba,Ethiopia,17.285
07/01/01,Addis Abeba,Ethiopia,18.484
07/02/01,Addis Abeba,Ethiopia,18.959
07/03/01,Addis Abeba,Ethiopia,20.045
07/04/01,Addis Abeba,Ethiopia,19.619
07/05/01,Addis Abeba,Ethiopia,19.805
07/06/01,Addis Abeba,Ethiopia,17.998
07/07/01,Addis Abeba,Ethiopia,17.002
07/08/01,Addis Abeba,Ethiopia,16.905
07/09/01,Addis Abeba,Ethiopia,17.192
07/10/01,Addis Abeba,Ethiopia,17.108
07/11/01,Addis Abeba,Ethiopia,17.502
07/12/01,Addis Abeba,Ethiopia,17.092
08/01/01,Addis Abeba,Ethiopia,18.773
08/02/01,Addis Abeba,Ethiopia,19.493
08/03/01,Addis Abeba,Ethiopia,19.735
08/04/01,Addis Abeba,Ethiopia,19.704
08/05/01,Addis Abeba,Ethiopia,19.459
08/06/01,Addis Abeba,Ethiopia,17.899
08/07/01,Addis Abeba,Ethiopia,16.853
08/08/01,Addis Abeba,Ethiopia,16.96
08/09/01,Addis Abeba,Ethiopia,17.736
08/10/01,Addis Abeba,Ethiopia,17.46
08/11/01,Addis Abeba,Ethiopia,16.95
08/12/01,Addis Abeba,Ethiopia,16.958
09/01/01,Addis Abeba,Ethiopia,17.963
09/02/01,Addis Abeba,Ethiopia,19.824
09/03/01,Addis Abeba,Ethiopia,20.189
09/04/01,Addis Abeba,Ethiopia,20.335
09/05/01,Addis Abeba,Ethiopia,20.283
09/06/01,Addis Abeba,Ethiopia,19.222
09/07/01,Addis Abeba,Ethiopia,17.484
09/08/01,Addis Abeba,Ethiopia,17.513
09/09/01,Addis Abeba,Ethiopia,18.187
09/10/01,Addis Abeba,Ethiopia,17.788
09/11/01,Addis Abeba,Ethiopia,18.098
09/12/01,Addis Abeba,Ethiopia,18.298
10/01/01,Addis Abeba,Ethiopia,18.39
10/02/01,Addis Abeba,Ethiopia,18.931
10/03/01,Addis Abeba,Ethiopia,20.102
10/04/01,Addis Abeba,Ethiopia,19.876
10/05/01,Addis Abeba,Ethiopia,19.646
10/06/01,Addis Abeba,Ethiopia,18.397
10/07/01,Addis Abeba,Ethiopia,16.91
10/08/01,Addis Abeba,Ethiopia,17.037
10/09/01,Addis Abeba,Ethiopia,17.551
10/10/01,Addis Abeba,Ethiopia,18.088
10/11/01,Addis Abeba,Ethiopia,17.571
10/12/01,Addis Abeba,Ethiopia,17.08
11/01/01,Addis Abeba,Ethiopia,17.708
11/02/01,Addis Abeba,Ethiopia,19.619
11/03/01,Addis Abeba,Ethiopia,20.153
11/04/01,Addis Abeba,Ethiopia,21.223
11/05/01,Addis Abeba,Ethiopia,19.884
11/06/01,Addis Abeba,Ethiopia,18.805
11/07/01,Addis Abeba,Ethiopia,17.983
11/08/01,Addis Abeba,Ethiopia,17.571
11/09/01,Addis Abeba,Ethiopia,17.822
11/10/01,Addis Abeba,Ethiopia,17.158
11/11/01,Addis Abeba,Ethiopia,17.869
11/12/01,Addis Abeba,Ethiopia,17.486
12/01/01,Addis Abeba,Ethiopia,16.62
12/02/01,Addis Abeba,Ethiopia,18.851
12/03/01,Addis Abeba,Ethiopia,18.337
12/04/01,Addis Abeba,Ethiopia,19.228
12/05/01,Addis Abeba,Ethiopia,19.411
12/06/01,Addis Abeba,Ethiopia,20.427
12/07/01,Addis Abeba,Ethiopia,18.303
12/08/01,Addis Abeba,Ethiopia,18.927
12/09/01,Addis Abeba,Ethiopia,18.038
12/10/01,Addis Abeba,Ethiopia,17.846
12/11/01,Addis Abeba,Ethiopia,17.587
12/12/01,Addis Abeba,Ethiopia,17.808
13/01/01,Addis Abeba,Ethiopia,18.852
13/02/01,Addis Abeba,Ethiopia,20.047
13/03/01,Addis Abeba,Ethiopia,21.18
13/04/01,Addis Abeba,Ethiopia,20.57
13/05/01,Addis Abeba,Ethiopia,19.774
13/06/01,Addis Abeba,Ethiopia,18.736
13/07/01,Addis Abeba,Ethiopia,18.148
13/08/01,Addis Abeba,Ethiopia,19.005
13/09/01,Addis Abeba,Ethiopia,
00/01/01,Ahmadabad,India,20.781
00/02/01,Ahmadabad,India,21.246
00/03/01,Ahmadabad,India,26.565
00/04/01,Ahmadabad,India,32.275
00/05/01,Ahmadabad,India,32.847
00/06/01,Ahmadabad,India,32.49
00/07/01,Ahmadabad,India,28.678
00/08/01,Ahmadabad,India,28.616
00/09/01,Ahmadabad,India,29.087
00/10/01,Ahmadabad,India,29.285
